searchval,blk_no,road_name,building,address,postal,x,y,latitude,longitude,query,category
the plaza,7500,beach road,the plaza,7500 beach road the plaza singapore 199590,199590,31041.4381526085,31330.9367066249,1.29962022781589,103.860647264964,the plaza,condo
lumiere,2,mistri road,lumiere,2 mistri road lumiere singapore 079624,079624,29414.1345509551,28526.9923883434,1.27426245685335,103.846025087372,lumiere,condo
upper wilkie road,,upper wilkie road,nil,upper wilkie road,nil,29528.6510797241,31829.2665264949,1.30412706743473,103.847054206873,wilkie road,condo
sky vue,1,bishan street 15,sky vue,1 bishan street 15 sky vue singapore 573910,573910,29936.4973254576,37157.8280075826,1.35231665677767,103.850719244155,sky vue,condo
membina 118,118,jalan membina,membina 118,118 jalan membina membina 118 singapore 160118,160118,27217.7262658523,29380.6742029954,1.28198287775746,103.826289547194,jalan membina,condo
21 jalan merah saga singapore 278100,21,jalan merah saga,nil,21 jalan merah saga singapore 278100,278100,24014.3791642264,32678.4267220832,1.31180634319888,103.797505817123,jalan merah saga,condo
tampines greendew,648c,tampines street 62,tampines greendew,648c tampines street 62 tampines greendew singapore 523648,523648,40015.838481511,38766.6902045291,1.36686425410783,103.941289145387,tampines street 62,condo
55 hong san walk singapore 689045,55,hong san walk,nil,55 hong san walk singapore 689045,689045,18160.2016391633,39898.9119588882,1.37710445414356,103.744900834921,hong san walk,condo
704 hougang avenue 2 singapore 530704,704,hougang avenue 2,nil,704 hougang avenue 2 singapore 530704,530704,34238.918986042,38551.8605870474,1.3649231962434,103.889379532965,hougang avenue 2,condo
the hacienda,3,hacienda grove,the hacienda,3 hacienda grove the hacienda singapore 457909,457909,38385.2405427778,32960.0290855803,1.31435155989455,103.926635128506,the hacienda,condo
gopeng street,,gopeng street,nil,gopeng street,nil,29248.0250850868,28661.645581077,1.27548014509447,103.844533000164,gopeng street,condo
one pearl bank,1,pearl bank,one pearl bank,1 pearl bank one pearl bank singapore 169016,169016,28722.953459329,29488.8835463077,1.28296148659589,103.839814598308,one pearl bank,condo
15 holland hill singapore 278735,15,holland hill,nil,15 holland hill singapore 278735,278735,24388.8350148555,32439.9358952995,1.30964956283877,103.800870514368,15 holland hill,condo
nassim park residences,19,nassim road,nassim park residences,19 nassim road nassim park residences singapore 258461,258461,26911.7687087236,32159.3465709519,1.30711220425558,103.823540303792,nassim park residences,condo
dalvey haus,101,dalvey road,dalvey haus,101 dalvey road dalvey haus singapore 259514,259514,27095.3253848907,33171.1622558162,1.31626271415845,103.825189618179,dalvey haus,condo
hundred palms residences,274,yio chu kang road,hundred palms residences,274 yio chu kang road hundred palms residences singapore 545688,545688,32928.3694405062,39428.2745655123,1.37284941610316,103.877603497,palm residence,condo
north park residences,15,yishun central 1,north park residences,15 yishun central 1 north park residences singapore 768797,768797,28279.3396244962,45599.8346311059,1.42866319767121,103.835828704052,north park residences,condo
margate point,2,margate road,margate point,2 margate road margate point singapore 438042,438042,34168.0418106308,31354.9798978828,1.29983720291661,103.888741199114,margate point,condo
the shorefront,165c,jalan loyang besar,the shorefront,165c jalan loyang besar the shorefront singapore 509838,509838,42110.2636383548,40125.8602716886,1.3791551466529,103.960109613673,the shorefront,condo
trilight,9,newton road,trilight,9 newton road trilight singapore 307997,307997,28708.8236986343,33022.096370846,1.31491462017223,103.83968771671,trilight,condo
lentor central,,lentor central,nil,lentor central,nil,28077.1406102885,40837.2316277475,1.38559144181968,103.834012429317,lentor central,condo
swiss view,,swiss view,nil,swiss view,nil,23153.8893832171,36563.3963245132,1.34693794911758,103.789772107923,swiss view,condo
the metropolitan condominium,6,alexandra view,the metropolitan condominium,6 alexandra view the metropolitan condominium singapore 158746,158746,26031.7349820863,30328.3642888963,1.29055340203602,103.81563289788,the metropolitan condominium,condo
the peak@balmeg,7,balmeg hill,the peak@balmeg,7 balmeg hill the peak@balmeg singapore 119914,119914,22436.993037032,29505.3415203113,1.28310984329147,103.783332794029,the peak@balmeg,condo
the sunshine,1,sunshine terrace,the sunshine,1 sunshine terrace the sunshine singapore 535689,535689,32299.3639935292,36483.7011389695,1.3462198480104,103.871951011761,the sunshine,condo
872b tampines street 86 singapore 522872,872b,tampines street 86,nil,872b tampines street 86 singapore 522872,522872,38919.3087940868,37498.1074000243,1.35539208573333,103.931435619129,tampines street 86,condo
seraya breeze,3,seraya road,seraya breeze,3 seraya road seraya breeze singapore 437235,437235,35398.9705472263,32028.333601119,1.30592650396308,103.899801800469,seraya breeze,condo
grange 70,70,grange road,grange 70,70 grange road grange 70 singapore 249574,249574,27537.7117319116,31293.4374594539,1.29928124298056,103.829164712225,grange 1866,condo
guilin court,10,lorong 26 geylang,guilin court,10 lorong 26 geylang guilin court singapore 398485,398485,33714.0888563115,32728.4591240771,1.31225854673977,103.884662481524,guilin court,condo
myra,9,meyappa chettiar road,myra,9 meyappa chettiar road myra singapore 358456,358456,31846.8838490294,34752.3850618228,1.33056250388713,103.86788498045,myra,condo
saint francis road,,saint francis road,nil,saint francis road,nil,31405.0930908801,34143.3010685497,1.32505423485581,103.863915190055,st. francis road,condo
12 jalan hajijah singapore 468707,12,jalan hajijah,nil,12 jalan hajijah singapore 468707,468707,39361.8698479105,32843.3573285751,1.31329607797031,103.935410576575,jalan hajijah,condo
lucky plaza,304,orchard road,lucky plaza,304 orchard road lucky plaza singapore 238863,238863,28071.6446550656,31871.1689420138,1.30450604646634,103.833962339817,lucky plaza,condo
bernam street,,bernam street,nil,bernam street,nil,29180.2281129858,28445.6840939084,1.27352714257757,103.843923350854,bernam street,condo
76 shenton,76,shenton way,76 shenton,76 shenton way 76 shenton singapore 079119,079119,29364.6884398069,28438.9366187733,1.2734661134853,103.845580792511,76 shenton,condo
16 lorong 25 geylang singapore 388296,16,lorong 25 geylang,nil,16 lorong 25 geylang singapore 388296,388296,33493.159907165,32943.9274868164,1.31420720603902,103.882677364834,lorong 25 geylang,condo
vertis,20,amber gardens,vertis,20 amber gardens vertis singapore 439979,439979,35432.3235951839,31517.6171900518,1.30130775979664,103.900101371452,vertis,condo
torieview mansions,10a,lorong 29 geylang,torieview mansions,10a lorong 29 geylang torieview mansions singapore 388067,388067,33892.9543884862,32985.3767058644,1.3145819839673,103.886269724851,torieview mansions,condo
treasures@g19,33,lorong 19 geylang,treasures@g19,33 lorong 19 geylang treasures@g19 singapore 388502,388502,33082.4270305475,32913.0640107878,1.3139281583716,103.87898672052,treasures@g19,condo
baywater,806,bedok reservoir road,baywater,806 bedok reservoir road baywater singapore 479243,479243,39040.9135362729,35511.496437965,1.33742586449106,103.932527588992,baywater,condo
shelford 23,23,shelford road,shelford 23,23 shelford road shelford 23 singapore 288413,288413,25653.5565932123,34450.8471751399,1.3278356548858,103.812234495947,shelford 23,condo
nassim park residences,19,nassim road,nassim park residences,19 nassim road nassim park residences singapore 258461,258461,26911.7687087236,32159.3465709519,1.30711220425558,103.823540303792,19 nassim,condo
viento,29,lorong 30 geylang,viento,29 lorong 30 geylang viento singapore 398362,398362,33920.8651621677,32723.2109583803,1.31221104514144,103.886520466932,viento,condo
tiara vista,31,lorong m telok kurau,tiara vista,31 lorong m telok kurau tiara vista singapore 425313,425313,36573.0754727153,32574.5690370575,1.31086615714413,103.910351828695,tiara vista,condo
fernhill road,,fernhill road,nil,fernhill road,nil,26999.5373727842,32915.8525015944,1.31395207518313,103.824324940951,fernhill road,condo
the creek @ bukit,17a,toh tuck road,the creek @ bukit,17a toh tuck road the creek @ bukit singapore 596156,596156,20898.1836972293,35717.9544154368,1.3392941779307,103.769504574592,the creek @ bukit,condo
richmond park,3,bideford road,richmond park,3 bideford road richmond park singapore 229920,229920,28343.8134566126,31921.673433749,1.30496278948447,103.836407903907,richmond park,condo
seletar aerospace road 1,,seletar aerospace road 1,nil,seletar aerospace road 1,nil,32383.8938129114,43864.1958868556,1.41296690976325,103.872710743136,seletar road,condo
balestier 288,288,balestier road,balestier 288,288 balestier road balestier 288 singapore 329731,329731,30169.3513153652,33913.5984549057,1.32297698121569,103.852811354547,balestier 288,condo
mount sophia suites,95,sophia road,mount sophia suites,95 sophia road mount sophia suites singapore 228163,228163,29505.0339673273,31598.423111625,1.30203939289866,103.846841997611,mount sophia suites,condo
the maylea,242k,pasir panjang road,the maylea,242k pasir panjang road the maylea singapore 117489,117489,22658.5093969395,29239.9072543364,1.28070938808957,103.785323249072,the maylea,condo
joo chiat mansions,185,joo chiat place,joo chiat mansions,185 joo chiat place joo chiat mansions singapore 427897,427897,35906.7486635065,32936.9502928182,1.31414358091839,103.904364654172,joo chiat place,condo
sandalwood,152e,tembeling road,sandalwood,152e tembeling road sandalwood singapore 423660,423660,35724.3211042034,32461.3840609752,1.30984277725756,103.902725334005,sandalwood,condo
the mezzo,205,balestier road,the mezzo,205 balestier road the mezzo singapore 329682,329682,30128.8407670297,33642.4183267783,1.32052452699851,103.852447326986,the mezzo,condo
the beverly,45,toh tuck road,the beverly,45 toh tuck road the beverly singapore 596720,596720,20656.179241824,35722.3575595636,1.33933394041963,103.767330021841,the beverly,condo
the nautical,97,jalan sendudok,the nautical,97 jalan sendudok the nautical singapore 769474,769474,27045.0767786903,47164.8934560362,1.4428170077791,103.824737654777,the nautical,condo
botanic gardens view,1,taman serasi,botanic gardens view,1 taman serasi botanic gardens view singapore 257717,257717,26382.0460015684,32343.3268475514,1.30877603374417,103.818780483991,botanic gardens view,condo
kovan jewel,51,kovan road,kovan jewel,51 kovan road kovan jewel singapore 548534,548534,33311.4616851974,37764.4928071182,1.35780270612077,103.881045556929,kovan jewel,condo
khiang guan avenue,,khiang guan avenue,nil,khiang guan avenue,nil,29060.3981009459,33310.660953692,1.31752394575984,103.842846935114,khiang guan avenue,condo
kampong eunos,,kampong eunos,nil,kampong eunos,nil,36150.2788066676,33437.5597380892,1.31867086017155,103.906553023224,kampong eunos,condo
paterson linc,20,paterson road,paterson linc,20 paterson road paterson linc singapore 238509,238509,27628.992585415,31726.1478282437,1.30319452443647,103.829984906389,paterson linc,condo
nallur road,,nallur road,nil,nallur road,nil,39026.9054692567,32736.7962101208,1.3123325033827,103.932400754982,nallur road,condo
newton lodge,41,newton road,newton lodge,41 newton road newton lodge singapore 307968,307968,28875.2934320979,33315.5713206865,1.31756869967119,103.841183539314,newton lodge,condo
the riverside piazza,11,keng cheow street,the riverside piazza,11 keng cheow street the riverside piazza singapore 059608,059608,29194.254084764,30099.7794164829,1.2884862000316,103.844049441363,the riverside piazza,condo
tanamera crest,12,pari dedap walk,tanamera crest,12 pari dedap walk tanamera crest singapore 486063,486063,40091.472815387,34983.8971206713,1.33265404976407,103.941967252939,tanamera crest,condo
