Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
THE PEARL @ MOUNT FABER,"1,728,000","1,087.16","1,589",Jun-25,MOUNT FABER ROAD,Resale,Strata,101,"17,109",-,Condominium,1,99 yrs lease commencing from 2002,04,Rest of Central Region,01 to 05
URBAN VISTA,"1,010,000",861.12,"1,173",Jun-25,TANAH MERAH KECHIL LINK,Resale,Strata,80,"12,625",-,Condominium,1,99 yrs lease commencing from 2012,16,Outside Central Region,11 to 15
SKIES MILTONIA,"932,000",721.19,"1,292",Jun-25,MILTONIA CLOSE,Resale,Strata,67,"13,910",-,Condominium,1,99 yrs lease commencing from 2012,27,Outside Central Region,06 to 10
THE CALLISTA,"1,400,888","1,108.69","1,264",Jun-25,MAR THOMA ROAD,Resale,Strata,103,"13,601",-,Apartment,1,999 yrs lease commencing from 1882,12,Rest of Central Region,01 to 05
STARVILLE,"1,400,000",936.47,"1,495",Jun-25,LENGKONG TIGA,Resale,Strata,87,"16,092",-,Condominium,1,Freehold,14,Outside Central Region,06 to 10
ONE JERVOIS,"2,350,000","1,065.64","2,205",Jun-25,JERVOIS CLOSE,Resale,Strata,99,"23,737",-,Condominium,1,Freehold,10,Core Central Region,06 to 10
THE GAZANIA,"2,070,000",882.65,"2,345",Jun-25,HOW SUN DRIVE,Resale,Strata,82,"25,244",-,Condominium,1,Freehold,19,Outside Central Region,01 to 05
STURDEE RESIDENCES,"2,040,000",936.47,"2,178",Jun-25,BEATTY ROAD,Resale,Strata,87,"23,448",-,Condominium,1,99 yrs lease commencing from 2015,08,Rest of Central Region,26 to 30
HILLVIEW PARK,"1,930,000","1,227.1","1,573",Jun-25,HILLVIEW AVENUE,Resale,Strata,114,"16,930",-,Condominium,1,Freehold,23,Outside Central Region,01 to 05
THE HILL @ONE-NORTH,"1,826,340",731.95,"2,495",Jun-25,SLIM BARRACKS RISE,New Sale,Strata,68,"26,858",-,Apartment,1,99 yrs lease commencing from 2022,05,Rest of Central Region,06 to 10
